protein,com_id,com_pubchem_id,prob
SIR3,COM00001123,264,0.08
SIR4,COM00005101,31401,0.08
SIR4,COM00002046,221493,0.08
SIR4,COM00005361,10133,0.08
SIR3,COM00005890,647,0.08
SIR5,COM00004927,1054,0.08
KLOT,COM00005599,3715,0.08
SIR4,COM00001233,1031,0.08
SIR5,COM00001306,385,0.08
SIR4,COM00005017,11047943,0.08
SIR4,COM00004927,1054,0.08
KLOT,COM00000998,1110,0.08
KLOT,COM00001719,443884,0.08
KLOT,COM00004327,760,0.08
SIR5,COM00005979,938,0.08
KLOT,COM00006158,1032,0.08
SIR2,COM00006100,441074,0.07
SIR4,COM00002954,7478,0.07
BECN1,COM00001891,60961,0.07
SIR1,COM00001117,1102,0.07
SIR2,COM00001194,6288,0.07
CDN2A,COM00006107,446220,0.07
KLOT,COM00006267,998,0.07
SIR5,COM00002631,785,0.07
IGF1,COM00000671,936,0.07
SIR5,COM00002989,3000346,0.07
SIR3,COM00004325,5326566,0.07
SIR3,COM00000076,54675858,0.07
SIR4,COM00002768,12620,0.07
SIR5,COM00005174,681,0.07
SIR4,COM00002929,14985,0.07
KLOT,COM00002046,221493,0.07
IGF1,COM00005979,938,0.07
KLOT,COM00006114,5978,0.07
KLOT,COM00000037,241903,0.07
SIR3,COM00003107,6128,0.07
CDN2A,COM00004003,1491,0.07
SIR4,COM00005189,47936,0.07
CDN2A,COM00002927,445354,0.07
SIR3,COM00000516,5994,0.07
KLOT,COM00005189,47936,0.07
SIR4,COM00003147,440473,0.07
SIR5,COM00000014,6089,0.07
KLOT,COM00005361,10133,0.07
SIR4,COM00005174,681,0.07
SIR4,COM00005890,647,0.07
KLOT,COM00005101,31401,0.07
SIR2,COM00002335,3034034,0.07
SIR2,COM00002506,996,0.07
SIR3,COM00005599,3715,0.07
SIR3,COM00000583,6590,0.07
BECN1,COM00002896,338,0.06
CDN2A,COM00004406,54670067,0.06
CDN2A,COM00000837,72281,0.06
SIR3,COM00003179,243,0.06
IGF1,COM00001192,6305,0.06
SIR4,COM00002506,996,0.06
SIR5,COM00000850,3662,0.06
SIR4,COM00003297,3776,0.06
SIR3,COM00005500,444863,0.06
KLOT,COM00000995,6057,0.06
SIR4,COM00004410,5962,0.06
SIR3,COM00002631,785,0.06
KLOT,COM00004398,46936193,0.06
SIR4,COM00004018,25322948,0.06
SIR5,COM00004622,6106,0.06
SIR5,COM00004345,16666,0.06
CDN2A,COM00001865,154417,0.06
SIR3,COM00001195,9750,0.06
SIR5,COM00005892,3532,0.06
SIR5,COM00001194,6288,0.06
SIR3,COM00004410,5962,0.06
SIR5,COM00003206,6047,0.06
SIR5,COM00004561,46936484,0.06
KLOT,COM00003218,440995,0.06
SIR5,COM00005149,942,0.06
BECN1,COM00004018,25322948,0.06
CDN2A,COM00005599,3715,0.06
CDN2A,COM00000039,174174,0.06
SIR5,COM00001076,6021,0.06
CDN2A,COM00004407,1103,0.06
